agent_1_name,agent_2_name,num_items,items,agent_1_values,agent_2_values,agent_1_outside_value,agent_2_outside_value,agent_1_offers,agent_2_offers
Agent1,Agent2,5,"tensor([1, 3, 5, 2, 7])","tensor([47,  7, 34, 48, 64])","tensor([41, 25, 57, 68, 13])",643,589,"[{'player': 0, 'offer': tensor([1, 2, 3, 1, 4])}, {'player': 0, 'offer': tensor([1, 1, 2, 1, 3])}]","[{'player': 1, 'offer': tensor([0, 1, 2, 1, 3])}, {'player': 1, 'offer': tensor([0, 2, 3, 1, 4])}, {'player': 1, 'offer': tensor([1, 1, 2, 1, 3])}]"
Agent1,Agent2,5,"tensor([4, 8, 6, 5, 3])","tensor([68, 61, 92, 88, 34])","tensor([27, 37, 53,  5, 64])",539,575,"[{'player': 0, 'offer': tensor([1, 3, 2, 4, 1])}, {'player': 0, 'offer': tensor([2, 3, 2, 4, 1])}, {'player': 0, 'offer': tensor([2, 4, 3, 3, 1])}]","[{'player': 1, 'offer': tensor([2, 4, 3, 2, 1])}, {'player': 1, 'offer': tensor([2, 4, 3, 3, 1])}, {'player': 1, 'offer': tensor([2, 4, 3, 3, 1])}]"
Agent1,Agent2,5,"tensor([4, 3, 3, 2, 4])","tensor([44,  6, 61, 17, 56])","tensor([ 1, 46, 90, 61,  8])",449,939,"[{'player': 0, 'offer': tensor([1, 1, 2, 0, 3])}, {'player': 0, 'offer': tensor([1, 1, 2, 0, 3])}]","[{'player': 1, 'offer': tensor([2, 1, 1, 1, 2])}, {'player': 1, 'offer': tensor([2, 1, 1, 1, 2])}, {'player': 1, 'offer': tensor([2, 1, 1, 1, 2])}]"
Agent1,Agent2,5,"tensor([3, 3, 4, 2, 3])","tensor([ 89,  32, 100,  36,  90])","tensor([77, 32, 95,  9, 14])",934,593,"[{'player': 0, 'offer': tensor([2, 1, 1, 0, 2])}, {'player': 0, 'offer': tensor([2, 1, 2, 0, 2])}]","[{'player': 1, 'offer': tensor([1, 2, 2, 1, 1])}, {'player': 1, 'offer': tensor([1, 2, 3, 1, 1])}, {'player': 1, 'offer': tensor([1, 2, 3, 1, 1])}]"
Agent1,Agent2,5,"tensor([5, 3, 6, 8, 8])","tensor([28, 57, 51, 35, 21])","tensor([71, 83, 35, 64, 71])",69,203,"[{'player': 0, 'offer': tensor([3, 2, 2, 3, 4])}, {'player': 0, 'offer': tensor([3, 2, 3, 4, 4])}]","[{'player': 1, 'offer': tensor([2, 1, 3, 4, 4])}, {'player': 1, 'offer': tensor([2, 1, 4, 5, 3])}, {'player': 1, 'offer': tensor([2, 1, 4, 5, 3])}]"
Agent1,Agent2,5,"tensor([4, 7, 5, 4, 1])","tensor([92, 89, 54, 28,  5])","tensor([27, 25, 84, 75,  7])",383,350,"[{'player': 0, 'offer': tensor([1, 4, 1, 1, 0])}, {'player': 0, 'offer': tensor([1, 4, 2, 1, 0])}]","[{'player': 1, 'offer': tensor([2, 3, 2, 2, 0])}, {'player': 1, 'offer': tensor([2, 3, 3, 2, 0])}, {'player': 1, 'offer': tensor([2, 3, 3, 2, 0])}]"
Agent1,Agent2,5,"tensor([1, 1, 4, 3, 4])","tensor([55, 56, 41, 63, 39])","tensor([82, 19, 44, 87, 69])",376,707,"[{'player': 0, 'offer': tensor([1, 1, 1, 0, 1])}, {'player': 0, 'offer': tensor([1, 1, 2, 0, 2])}]","[{'player': 1, 'offer': tensor([0, 0, 2, 1, 2])}, {'player': 1, 'offer': tensor([0, 0, 2, 1, 3])}, {'player': 1, 'offer': tensor([0, 0, 3, 1, 2])}]"
Agent1,Agent2,5,"tensor([4, 0, 5, 3, 2])","tensor([58, 55, 46, 60, 42])","tensor([50, 66, 84, 69, 46])",310,21,"[{'player': 0, 'offer': tensor([1, 0, 3, 2, 0])}, {'player': 0, 'offer': tensor([1, 0, 3, 2, 0])}]","[{'player': 1, 'offer': tensor([2, 0, 2, 1, 1])}, {'player': 1, 'offer': tensor([2, 0, 2, 1, 1])}, {'player': 1, 'offer': tensor([2, 0, 2, 1, 1])}]"
Agent1,Agent2,5,"tensor([3, 1, 3, 4, 2])","tensor([ 77, 100,  30,  93,  24])","tensor([66, 11, 69, 13, 39])",404,968,"[{'player': 0, 'offer': tensor([2, 1, 1, 2, 0])}, {'player': 0, 'offer': tensor([2, 1, 1, 2, 0])}]","[{'player': 1, 'offer': tensor([1, 0, 2, 2, 1])}, {'player': 1, 'offer': tensor([1, 0, 2, 3, 1])}, {'player': 1, 'offer': tensor([2, 1, 1, 2, 0])}]"
Agent1,Agent2,5,"tensor([4, 4, 4, 0, 7])","tensor([ 71, 100,  54,   8,  83])","tensor([96, 47, 72, 12, 57])",792,765,"[{'player': 0, 'offer': tensor([1, 2, 1, 0, 4])}, {'player': 0, 'offer': tensor([2, 2, 1, 0, 4])}]","[{'player': 1, 'offer': tensor([2, 1, 2, 0, 3])}, {'player': 1, 'offer': tensor([2, 1, 2, 0, 3])}, {'player': 1, 'offer': tensor([2, 2, 1, 0, 4])}]"
