game_id,player_id,total_value,outside_value,num_offers
1,1,753,425,1
1,2,837,218,1
2,1,585,228,0
2,2,502,451,1
3,1,536,20,1
3,2,946,424,1
4,1,957,777,1
4,2,764,732,2
5,1,964,873,1
5,2,869,805,1
6,1,1484,59,1
6,2,1256,699,2
7,1,716,448,1
7,2,1004,792,2
8,1,1028,404,2
8,2,768,489,3
9,1,775,120,1
9,2,937,160,1
10,1,1043,159,1
10,2,1424,164,1
11,1,992,119,2
11,2,627,596,3
12,1,1418,967,2
12,2,1271,447,2
13,1,1297,986,2
13,2,1006,497,2
14,1,1401,942,1
14,2,1552,1275,2
15,1,1278,200,1
15,2,487,409,2
16,1,1188,910,1
16,2,1758,1517,1
17,1,905,266,1
17,2,709,161,1
18,1,194,5,1
18,2,391,45,1
19,1,817,214,1
19,2,1062,83,1
20,1,1172,507,1
20,2,1195,98,1
21,1,773,617,2
21,2,794,685,2
22,1,1123,128,1
22,2,840,6,1
23,1,1026,342,1
23,2,1004,384,1
24,1,521,433,1
24,2,246,223,1
25,1,1406,204,1
25,2,1066,495,2
26,1,1051,867,0
26,2,1510,888,0
27,1,747,45,0
27,2,823,595,1
28,1,949,284,1
28,2,710,263,1
29,1,457,74,1
29,2,629,546,2
30,1,1728,1673,2
30,2,2138,787,2
31,1,741,551,2
31,2,1364,420,2
32,1,1155,800,2
32,2,980,380,2
33,1,645,218,1
33,2,829,471,2
34,1,1278,492,2
34,2,1073,556,2
35,1,1098,966,1
35,2,1079,579,1
36,1,772,535,1
36,2,1265,304,1
37,1,559,534,0
37,2,952,758,1
38,1,1166,1098,1
38,2,965,493,1
39,1,1309,755,1
39,2,1210,345,1
40,1,1063,735,0
40,2,823,723,1
41,1,706,396,0
41,2,613,485,1
42,1,866,147,1
42,2,958,327,2
43,1,778,578,1
43,2,713,294,1
44,1,1671,94,1
44,2,1994,643,1
45,1,766,667,1
45,2,618,596,1
46,1,865,586,1
46,2,1677,1035,2
47,1,692,173,0
47,2,649,638,1
48,1,392,352,1
48,2,1352,370,1
49,1,775,558,1
49,2,1381,960,1
50,1,868,562,0
50,2,1155,437,0
51,1,830,685,1
51,2,1009,964,2
52,1,1593,1544,2
52,2,570,567,2
53,1,1568,634,1
53,2,1173,202,1
54,1,1255,958,1
54,2,756,62,1
55,1,660,622,1
55,2,670,249,1
56,1,1107,721,0
56,2,1591,1346,1
57,1,578,479,1
57,2,647,62,1
58,1,1863,1688,0
58,2,1682,1443,0
59,1,1834,129,1
59,2,923,509,2
60,1,726,182,1
60,2,689,577,2
61,1,483,185,1
61,2,1241,717,2
62,1,1488,823,2
62,2,744,623,2
63,1,680,658,2
63,2,366,123,2
64,1,856,162,1
64,2,1221,663,1
65,1,869,772,1
65,2,944,78,1
66,1,939,160,1
66,2,864,478,2
67,1,825,388,0
67,2,706,276,0
68,1,695,464,2
68,2,678,597,2
69,1,1447,470,0
69,2,792,716,1
70,1,615,282,1
70,2,898,235,1
71,1,432,162,1
71,2,537,385,2
72,1,714,503,2
72,2,1563,1081,2
73,1,690,14,1
73,2,1271,450,1
74,1,1032,777,1
74,2,1107,512,1
75,1,1219,635,1
75,2,1066,1025,2
76,1,903,351,1
76,2,545,180,2
77,1,1020,411,1
77,2,1053,220,1
78,1,966,576,1
78,2,590,346,1
79,1,660,511,2
79,2,1404,810,2
80,1,723,238,0
80,2,1016,777,1
81,1,601,563,1
81,2,965,466,1
82,1,1109,222,1
82,2,1180,276,1
83,1,573,160,1
83,2,691,243,1
84,1,1173,101,1
84,2,1153,402,1
85,1,634,476,0
85,2,862,670,1
86,1,874,554,1
86,2,895,97,1
87,1,679,380,0
87,2,660,360,0
88,1,902,517,2
88,2,690,518,2
89,1,1210,863,1
89,2,888,352,1
90,1,591,526,1
90,2,1171,378,1
91,1,506,114,1
91,2,980,211,2
92,1,1270,468,1
92,2,1197,242,1
93,1,1145,342,1
93,2,1227,422,1
94,1,1586,60,1
94,2,1142,173,1
95,1,1499,1140,1
95,2,891,306,1
96,1,1082,44,1
96,2,1124,209,1
97,1,674,18,1
97,2,924,268,2
98,1,1021,141,1
98,2,866,355,1
99,1,1481,439,1
99,2,1011,625,2
100,1,817,802,2
100,2,1734,1346,2
